gab;file_1;file_2;sample_size;threshold;tm;tnm;fm;precision;recall;f1;detlta;t1;t2
trip-yelp;tripadvisor-a;yelp-a;100;0.4;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.13815927505493164;1502319373.5031877;1502319373.641347
trip-yelp;tripadvisor-a;yelp-a;100;0.5;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.11659026145935059;1502319373.641347;1502319373.7579372
trip-yelp;tripadvisor-a;yelp-a;100;0.6;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.11970162391662598;1502319373.7579372;1502319373.8776388
trip-yelp;tripadvisor-a;yelp-a;100;0.7;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.1109151840209961;1502319373.8776388;1502319373.988554
trip-yelp;tripadvisor-a;yelp-a;100;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.10609889030456543;1502319373.9895542;1502319374.095653
trip-yelp;tripadvisor-a;yelp-a;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.1128842830657959;1502319374.095653;1502319374.2085373
trip-yelp;tripadvisor-a;yelp-b;100;0.4;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.12259912490844727;1502319374.2524254;1502319374.3750246
trip-yelp;tripadvisor-a;yelp-b;100;0.5;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.12109565734863281;1502319374.3750246;1502319374.4961202
trip-yelp;tripadvisor-a;yelp-b;100;0.6;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.11610770225524902;1502319374.4961202;1502319374.612228
trip-yelp;tripadvisor-a;yelp-b;100;0.7;4;3;1;0.8;0.5714285714285714;0.6666666666666666;0.11006975173950195;1502319374.612228;1502319374.7222977
trip-yelp;tripadvisor-a;yelp-b;100;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.10864877700805664;1502319374.7222977;1502319374.8309464
trip-yelp;tripadvisor-a;yelp-b;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10357856750488281;1502319374.8309464;1502319374.934525
trip-yelp;tripadvisor-a;yelp-c;100;0.4;6;1;3;0.6666666666666666;0.8571428571428571;0.75;0.20371794700622559;1502319374.9822814;1502319375.1859994
trip-yelp;tripadvisor-a;yelp-c;100;0.5;6;1;3;0.6666666666666666;0.8571428571428571;0.75;0.11110472679138184;1502319375.1859994;1502319375.2971041
trip-yelp;tripadvisor-a;yelp-c;100;0.6;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.2131800651550293;1502319375.2971041;1502319375.5102842
trip-yelp;tripadvisor-a;yelp-c;100;0.7;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.15321779251098633;1502319375.5113022;1502319375.66452
trip-yelp;tripadvisor-a;yelp-c;100;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.12910079956054688;1502319375.66452;1502319375.7936208
trip-yelp;tripadvisor-a;yelp-c;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10513520240783691;1502319375.7936208;1502319375.898756
