gab;file_1;file_2;sample_size;threshold;tm;tnm;fm;precision;recall;f1;detlta;t1;t2
nc-oh;ncvoter-a-random;ohio-a-random;1000;0.4;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.11808538436889648;1502388250.4376614;1502388250.5557468
nc-oh;ncvoter-a-random;ohio-a-random;1000;0.5;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.09957289695739746;1502388250.5557468;1502388250.6553197
nc-oh;ncvoter-a-random;ohio-a-random;1000;0.6;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.10305476188659668;1502388250.6558366;1502388250.7588913
nc-oh;ncvoter-a-random;ohio-a-random;1000;0.7;3;4;0;1.0;0.42857142857142855;0.6;0.0960853099822998;1502388250.7593918;1502388250.855477
nc-oh;ncvoter-a-random;ohio-a-random;1000;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.10305356979370117;1502388250.8559778;1502388250.9590313
nc-oh;ncvoter-a-random;ohio-a-random;1000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.08956313133239746;1502388250.9590313;1502388251.0485945
nc-oh;ncvoter-a-random;ohio-b-random;1000;0.4;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.1080789566040039;1502388251.0781162;1502388251.1861951
nc-oh;ncvoter-a-random;ohio-b-random;1000;0.5;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.1100776195526123;1502388251.1866946;1502388251.2967722
nc-oh;ncvoter-a-random;ohio-b-random;1000;0.6;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.10557436943054199;1502388251.2967722;1502388251.4023466
nc-oh;ncvoter-a-random;ohio-b-random;1000;0.7;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.10007071495056152;1502388251.4023466;1502388251.5024173
nc-oh;ncvoter-a-random;ohio-b-random;1000;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.09956955909729004;1502388251.5024173;1502388251.601987
nc-oh;ncvoter-a-random;ohio-b-random;1000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.08958292007446289;1502388251.601987;1502388251.6915698
nc-oh;ncvoter-a-random;ohio-c-random;1000;0.4;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.1035764217376709;1502388251.7165673;1502388251.8201437
nc-oh;ncvoter-a-random;ohio-c-random;1000;0.5;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.1156015396118164;1502388251.8201437;1502388251.9357452
nc-oh;ncvoter-a-random;ohio-c-random;1000;0.6;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.10207295417785645;1502388251.9357452;1502388252.0378182
nc-oh;ncvoter-a-random;ohio-c-random;1000;0.7;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.1075737476348877;1502388252.0383186;1502388252.1458924
nc-oh;ncvoter-a-random;ohio-c-random;1000;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.09757137298583984;1502388252.1463926;1502388252.243964
nc-oh;ncvoter-a-random;ohio-c-random;1000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.08906316757202148;1502388252.2444644;1502388252.3335276
nc-oh;ncvoter-a-random;ohio-d-random;1000;0.4;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.11207890510559082;1502388252.3555431;1502388252.467622
nc-oh;ncvoter-a-random;ohio-d-random;1000;0.5;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.10707592964172363;1502388252.467622;1502388252.574698
nc-oh;ncvoter-a-random;ohio-d-random;1000;0.6;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.09756803512573242;1502388252.574698;1502388252.672266
nc-oh;ncvoter-a-random;ohio-d-random;1000;0.7;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.09456920623779297;1502388252.672266;1502388252.7668352
nc-oh;ncvoter-a-random;ohio-d-random;1000;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.1005706787109375;1502388252.7673361;1502388252.8679068
nc-oh;ncvoter-a-random;ohio-d-random;1000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10307145118713379;1502388252.8679068;1502388252.9709783
nc-oh;ncvoter-a-random;ohio-e-random;1000;0.4;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.11508297920227051;1502388252.9934936;1502388253.1085765
nc-oh;ncvoter-a-random;ohio-e-random;1000;0.5;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.1005709171295166;1502388253.1085765;1502388253.2091475
nc-oh;ncvoter-a-random;ohio-e-random;1000;0.6;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.09806942939758301;1502388253.2091475;1502388253.307217
nc-oh;ncvoter-a-random;ohio-e-random;1000;0.7;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.11458134651184082;1502388253.307217;1502388253.4217982
nc-oh;ncvoter-a-random;ohio-e-random;1000;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.09556841850280762;1502388253.4222987;1502388253.517867
nc-oh;ncvoter-a-random;ohio-e-random;1000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.09056282043457031;1502388253.517867;1502388253.60843
nc-oh;ncvoter-a-random;ohio-a-random;10000;0.4;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.10407471656799316;1502388253.6309464;1502388253.735021
nc-oh;ncvoter-a-random;ohio-a-random;10000;0.5;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.09456586837768555;1502388253.7355208;1502388253.8300867
nc-oh;ncvoter-a-random;ohio-a-random;10000;0.6;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.09907221794128418;1502388253.8300867;1502388253.929159
nc-oh;ncvoter-a-random;ohio-a-random;10000;0.7;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.10156559944152832;1502388253.9296658;1502388254.0312314
nc-oh;ncvoter-a-random;ohio-a-random;10000;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.10657358169555664;1502388254.0312314;1502388254.137805
nc-oh;ncvoter-a-random;ohio-a-random;10000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.09256577491760254;1502388254.137805;1502388254.2303708
nc-oh;ncvoter-a-random;ohio-b-random;10000;0.4;6;1;3;0.6666666666666666;0.8571428571428571;0.75;0.1150825023651123;1502388254.251885;1502388254.3669674
nc-oh;ncvoter-a-random;ohio-b-random;10000;0.5;6;1;3;0.6666666666666666;0.8571428571428571;0.75;0.10157418251037598;1502388254.3669674;1502388254.4685416
nc-oh;ncvoter-a-random;ohio-b-random;10000;0.6;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.09956836700439453;1502388254.4685416;1502388254.56811
nc-oh;ncvoter-a-random;ohio-b-random;10000;0.7;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.09756755828857422;1502388254.568612;1502388254.6661797
nc-oh;ncvoter-a-random;ohio-b-random;10000;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.09254717826843262;1502388254.6667004;1502388254.7592475
nc-oh;ncvoter-a-random;ohio-b-random;10000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.09306597709655762;1502388254.7592475;1502388254.8523135
nc-oh;ncvoter-a-random;ohio-c-random;10000;0.4;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.10857582092285156;1502388254.8738286;1502388254.9824045
